time_s,lower_bound,upper_bound
10,48.41309815,117.5393819
20,48.41309815,117.5393819
30,48.41309815,117.5393819
40,48.41309815,117.5393819
50,48.41309815,117.5393819
60,48.41309815,117.5393819
70,48.41309815,117.5393819
80,48.41309815,117.5393819
90,48.41309815,117.5393819
100,48.41309815,117.5393819
110,48.41309815,117.5393819
120,48.41309815,117.5393819
130,48.41309815,117.5393819
140,48.41309815,117.5393819
150,48.41309815,117.5393819
160,48.41309815,117.5393819
170,48.41309815,117.5393819
180,48.41309815,117.5393819
190,48.41309815,117.5393819
200,48.41309815,117.5393819
210,48.41309815,117.5393819
220,48.41309815,117.5393819
230,48.41309815,117.5393819
240,48.41309815,117.5393819
250,48.41309815,117.5393819
260,48.41309815,117.5393819
270,48.41309815,117.5393819
280,48.41309815,117.5393819
290,48.41309815,117.5393819
300,48.41309815,117.5393819
310,48.41309815,117.5393819
320,48.41309815,117.5393819
330,48.41309815,117.5393819
340,48.41309815,117.5393819
350,48.41309815,117.5393819
360,48.41309815,117.5393819
370,48.41309815,117.5393819
380,48.41309815,117.5393819
390,48.41309815,117.5393819
400,48.41309815,117.5393819
410,48.41907123,75.94751777
420,48.41907123,75.94751777
430,48.41907123,75.94751777
440,48.41907123,75.94751777
450,48.41907123,75.94751777
460,48.41907123,75.94751777
470,48.41907123,75.94751777
480,48.41907123,75.94751777
490,48.41907123,75.94751777
500,48.41907123,75.94751777
510,48.41907123,75.94751777
520,48.41907123,75.94751777
530,48.41907123,75.94751777
540,48.41907123,75.94751777
550,48.41907123,75.94751777
560,48.41907123,75.94751777
570,48.41907123,75.94751777
580,48.41907123,75.94751777
590,48.41907123,75.94751777
600,48.41907123,75.94751777
610,48.41907123,75.94751777
620,48.41907123,75.94751777
630,48.41907123,75.94751777
640,48.41907123,75.94751777
650,48.41907123,75.94751777
660,48.41907123,75.94751777
670,48.41907123,75.94751777
680,48.41907123,75.94751777
690,48.41907123,75.94751777
700,48.41907123,75.94751777
710,48.41907123,75.94751777
720,48.41907123,75.94751777
730,48.41907123,75.94751777
740,48.41907123,75.94751777
750,48.41907123,75.94751777
760,48.41907123,75.94751777
770,48.41907123,75.94751777
780,48.41907123,75.94751777
790,48.41907123,75.94751777
800,48.41907123,75.94751777
810,27.44396668,61.93227332
820,27.44396668,61.93227332
830,27.44396668,61.93227332
840,27.44396668,61.93227332
850,27.44396668,61.93227332
860,27.44396668,61.93227332
870,27.44396668,61.93227332
880,27.44396668,61.93227332
890,27.44396668,61.93227332
900,27.44396668,61.93227332
910,27.44396668,61.93227332
920,27.44396668,61.93227332
930,27.44396668,61.93227332
940,27.44396668,61.93227332
950,27.44396668,61.93227332
960,27.44396668,61.93227332
970,27.44396668,61.93227332
980,27.44396668,61.93227332
990,27.44396668,61.93227332
1000,27.44396668,61.93227332
1010,27.44396668,61.93227332
1020,27.44396668,61.93227332
1030,27.44396668,61.93227332
1040,27.44396668,61.93227332
1050,27.44396668,61.93227332
1060,27.44396668,61.93227332
1070,27.44396668,61.93227332
1080,27.44396668,61.93227332
1090,27.44396668,61.93227332
1100,27.44396668,61.93227332
1110,27.44396668,61.93227332
1120,27.44396668,61.93227332
1130,27.44396668,61.93227332
1140,27.44396668,61.93227332
1150,27.44396668,61.93227332
1160,27.44396668,61.93227332
1170,27.44396668,61.93227332
1180,27.44396668,61.93227332
1190,27.44396668,61.93227332
1200,27.44396668,61.93227332
